"País","DensidadPob","PobUrbana","PobRural","CrecimientoPobUrb","Puntuación","Proceso electoraly pluralismo","Funcionamientodel gobierno","Culturapolítica","Continente","2019_infl","2019_med","Alfabetizacion","Desempleo","Gasto Publico","Maestros Capacitados","Poblacion Activa"
"Afganistán",56.937760009803,25.495,74.505,3.35038297624495,2.97,2.92,1.14,2.5,"Asia",0.549627730870014,NA,43.01972,11.0570001602173,NA,11.0570001602173,5.10571885003157e-317
"Albania",104.612262773723,60.319,39.681,1.31716210445698,5.98,7,4.71,5,"Europa",2.65043141253594,NA,98.14115,12.3400001525879,2.46866,12.3400001525879,6.51189390662971e-318
"Alemania",237.30759674834,77.312,22.688,0.366515155973305,8.68,9.58,8.57,7.5,"Europa",0.289556721376243,NA,NA,3.3840000629425,NA,3.3840000629425,2.15215672198382e-316
"Angola",24.7130520574316,65.514,34.486,4.31179134171658,3.62,1.75,2.86,5,"África",-4.03261354245136,NA,NA,7.01900005340576,NA,7.01900005340576,6.27734414631692e-317
"Argelia",17.7300750711665,72.629,27.371,2.80499567674668,3.5,2.58,2.21,5,"África",-1.13069230350069,NA,81.40784,11.8819999694824,NA,11.8819999694824,6.01448788295694e-317
"Argentina",16.2585100979651,91.87,8.13,1.14760215897919,7.02,9.17,5.36,6.25,"América",-3.13005137908782,NA,99.00387,9.22000026702881,NA,9.22000026702881,1.01538800404539e-316
"Armenia",103.680224798033,63.149,36.851,0.309165596528027,4.79,5.67,4.64,2.5,"Asia-Europa",7.3833616376878,NA,NA,17.496000289917,NA,17.496000289917,6.43813484636207e-318
"Australia",3.24787091037205,86.012,13.988,1.66174925937128,9.1,10,8.93,8.75,"Oceanía",0.363735766720836,NA,NA,5.2979998588562,NA,5.2979998588562,6.54857482237391e-317
"Austria",107.127966860564,58.297,41.703,0.835905515118155,8.29,9.58,7.86,6.88,"Europa",1.19462890257502,NA,NA,4.84800004959106,NA,4.84800004959106,2.27330127249814e-317
"Azerbaiyán",120.23431716463,55.68,44.32,1.47340015238086,2.65,0.5,2.14,3.75,"Asia-Europa",1.36668440801164,NA,NA,4.90000009536743,NA,4.90000009536743,2.51531389439137e-317
"Bélgica",377.379590488771,98.001,1.999,0.496003003468172,7.78,9.58,8.93,6.88,"Europa",0.901135132162906,NA,NA,5.94799995422363,NA,5.94799995422363,2.51467160905178e-317
"Bolivia",10.4801458506416,69.425,30.575,1.92007368157467,5.7,7.5,4.64,3.75,"América",0.796552665656364,NA,NA,3.53399991989136,NA,3.53399991989136,2.78244184932529e-317
"Brasil",25.0617162430876,86.569,13.431,1.08463813215672,6.97,9.58,5.36,5,"América",0.379344236418362,NA,93.2275,12.3339996337891,NA,12.3339996337891,5.21447910166067e-316
"Bulgaria",64.7110998526161,75.008,24.992,-0.269102082353336,7.03,9.17,6.43,4.38,"Europa",4.10182114297564,NA,NA,5.21099996566772,NA,5.21099996566772,1.64405976002037e-317
"Burkina Faso",72.1912828947368,29.358,70.642,4.98415981781227,4.75,4.42,4.29,5.63,"África",2.72492652666693,NA,41.22445,6.0939998626709,6.03609,6.0939998626709,3.57616028563184e-317
"Burundi",435.178271028037,13.032,86.968,5.70008634067739,2.33,0,0.43,5,"África",-1.29480274901135,NA,NA,1.44799995422363,5.01084,1.44799995422363,2.38256883073239e-317
"Cabo Verde",134.929776674938,65.732,34.268,1.87888979052915,7.88,9.17,7.86,6.88,"África",4.4825965834205,NA,NA,12.1700000762939,NA,12.1700000762939,1.1531689800193e-318
"Camboya",92.0564128710628,23.388,76.612,3.25025074021303,3.59,1.33,5,5.63,"Asia",5.51682776902609,NA,NA,0.65200001001358,2.16286,0.65200001001358,4.54106653943463e-317
"Camerún",53.3439889149796,56.374,43.626,3.67693315164019,3.28,3.17,2.86,4.38,"África",1.36358995415048,NA,77.07104,3.35700011253357,3.14529,3.35700011253357,5.44640478051527e-317
"Canadá",4.07518823864492,81.411,18.589,1.47290288037893,9.18,9.58,9.64,8.75,"América",0.218665447817074,NA,NA,5.83099985122681,NA,5.83099985122681,1.00517250512572e-316
"Chad",12.2917336404066,23.059,76.941,3.89908834293785,1.61,0,0,3.75,"África",0.209857602815177,NA,NA,1.83800005912781,2.24185,1.83800005912781,2.86008475963489e-317
