"País","Puntuación","Proceso electoraly pluralismo","Funcionamientodel gobierno","Participaciónpolítica","Culturapolítica","Derechosciviles","Continente"
"Afganistán",2.97,2.92,1.14,4.44,2.5,3.82,"Asia"
"Albania",5.98,7,4.71,5.56,5,7.65,"Europa"
"Alemania",8.68,9.58,8.57,8.33,7.5,9.41,"Europa"
"Angola",3.62,1.75,2.86,5.56,5,2.94,"África"
"Argelia",3.5,2.58,2.21,3.89,5,4.12,"África"
"Argentina",7.02,9.17,5.36,6.11,6.25,8.24,"América"
"Armenia",4.79,5.67,4.64,5.56,2.5,5.59,"Asia-Europa"
"Australia",9.1,10,8.93,7.78,8.75,10,"Oceanía"
"Austria",8.29,9.58,7.86,8.33,6.88,9.12,"Europa"
"Azerbaiyán",2.65,0.5,2.14,3.33,3.75,3.53,"Asia-Europa"
"Bangladés",5.57,7.83,5.07,5.56,4.38,5,"Asia"
"Baréin",2.71,0.83,3.21,2.78,4.38,2.35,"Asia"
"Bélgica",7.78,9.58,8.93,5,6.88,8.53,"Europa"
"Benín",5.74,6.5,5.71,5,5.63,5.88,"África"
"Bielorrusia",3.13,0.92,2.86,3.89,5.63,2.35,"Europa"
"Bolivia",5.7,7.5,4.64,5.56,3.75,7.06,"América"
"Botsuana",7.81,9.17,7.14,6.11,7.5,9.12,"África"
"Brasil",6.97,9.58,5.36,6.67,5,8.24,"América"
"Bulgaria",7.03,9.17,6.43,7.22,4.38,7.94,"Europa"
"Burkina Faso",4.75,4.42,4.29,4.44,5.63,5,"África"
"Burundi",2.33,0,0.43,3.89,5,2.35,"África"
"Bután",5.3,8.75,6.79,2.78,4.38,3.82,"Asia"
"Cabo Verde",7.88,9.17,7.86,6.67,6.88,8.82,"África"
"Camboya",3.59,1.33,5,2.78,5.63,3.24,"Asia"
"Camerún",3.28,3.17,2.86,3.33,4.38,2.65,"África"
"Canadá",9.18,9.58,9.64,7.78,8.75,10,"América"
"Catar",3.19,0,4.29,2.22,5.63,3.82,"Asia"
"Chad",1.61,0,0,1.67,3.75,2.65,"África"
"Chile",7.97,9.58,8.57,4.44,8.13,9.12,"América"
"China",2.26,0,5,3.89,6.25,1.47,"Asia"
"Chipre",7.59,9.17,6.43,6.67,6.88,8.82,"Europa-Asia"
"Colombia",6.96,9.17,6.79,5,5.63,8.24,"América"
"Comoras",3.71,4.33,2.21,4.44,3.75,3.82,"África"
"Corea del Norte",1.08,0,2.5,1.67,1.25,0,"Asia"
"Corea del Sur",8,9.17,7.86,7.22,7.5,8.24,"Asia"
"Costa de Marfil",4.15,4.83,2.86,3.33,5.63,4.12,"África"
"Costa Rica",8.07,9.58,7.5,6.67,7.5,9.12,"América"
"Croacia",6.57,9.17,6.07,5.56,5,7.06,"Europa"
"Cuba",3,1.08,3.57,3.33,4.38,2.65,"América"
"Dinamarca",9.21,10,9.29,8.33,9.38,9.12,"Europa"
"Ecuador",6.27,8.75,5.36,6.11,4.38,7.65,"América"
"Egipto",3.36,3.58,3.21,3.33,3.75,2.94,"África-Asia"
"El Salvador",5.96,9.17,4.29,5.56,3.75,7.06,"América"
"Emiratos Árabes Unidos",2.76,0,3.93,2.22,5,2.65,"Asia"
"Eritrea",2.37,0,2.14,1.67,6.88,1.18,"África"
"Eslovaquia",7.1,9.58,6.79,5.56,5.63,7.94,"Europa"
"Eslovenia",7.5,9.58,6.79,6.67,6.25,8.24,"Europa"
"España",8.08,9.17,7.14,7.78,7.5,8.82,"Europa"
"Estados Unidos",7.96,9.17,7.14,7.78,7.5,8.24,"América"
"Estonia",7.97,9.58,8.21,6.67,6.88,8.53,"Europa"
"Etiopía",3.35,0,3.57,5.56,5,2.65,"África"
"Filipinas",6.71,9.17,5.71,7.22,4.38,7.06,"Asia"
"Finlandia",9.25,10,8.93,8.33,8.75,9.71,"Europa"
"Fiyi",5.85,6.58,5.36,6.11,5.63,5.59,"Oceanía"
"Francia",7.8,9.58,7.5,7.78,5.63,8.53,"Europa"
"Gabón",3.61,2.58,2.21,4.44,5,3.82,"África"
"Gambia",4.31,4.48,4.29,3.33,5.63,3.82,"África"
"Georgia",5.5,7.83,3.57,6.11,4.38,5,"Asia-Europa"
"Ghana",6.63,8.33,5.71,6.67,6.25,6.18,"África"
"Grecia",7.29,9.58,5.36,6.11,6.88,8.53,"Europa"
"Guatemala",5.6,7.92,5.36,3.89,4.38,6.47,"América"
"Guinea",3.14,3.5,0.43,4.44,4.38,2.94,"África"
"Guinea Ecuatorial",1.92,0,0.43,3.33,4.38,1.47,"África"
"Guinea-Bisáu",1.98,1.67,0,2.78,3.13,2.35,"África"
"Guyana",6.67,9.17,5.71,6.11,5,7.35,"América"
"Haití",4.91,5.58,2.93,3.89,6.25,5.88,"América"
"Honduras",5.63,8.5,4.64,4.44,4.38,6.18,"América"
"Hungría",6.63,8.75,6.07,5,6.25,7.06,"Europa"
"India",6.9,9.17,6.79,7.22,5.63,7.35,"Asia"
"Indonesia",6.5,7.95,7.15,6.7,5.65,5.6,"Asia"
"Irak",4.06,4.75,0.07,6.67,5,3.82,"Asia"
"Irán",2.45,0,3.21,4.44,3.13,1.47,"Asia"
"Irlanda",9.23,9.58,7.86,8.33,10,10,"Europa"
"Islandia",9.58,10,9.29,8.89,10,9.71,"Europa"
"Israel",7.79,9.17,7.5,8.89,7.5,5.88,"Asia"
"Italia",7.71,9.58,6.07,7.78,6.88,8.24,"Europa"
"Jamaica",7.02,8.75,7.14,4.44,6.25,8.53,"América"
"Japón",7.99,8.75,8.21,6.67,7.5,8.82,"Asia"
"Jordania",3.93,3.58,4.29,3.89,4.38,3.53,"Asia"
"Kazajistán",2.94,0.5,2.14,4.44,4.38,3.24,"Asia-Europa"
"Kenia",5.11,3.5,5.36,6.67,5.63,4.41,"África"
"Kirguistán",5.11,6.58,2.93,6.67,4.38,5,"Asia"
"Kuwait",3.85,3.17,4.29,3.89,4.38,3.53,"Asia"
"Laos",2.14,0.83,2.86,1.67,5,1.47,"Asia"
"Lesoto",6.64,9.17,5,6.67,5.63,6.76,"África"
"Letonia",7.38,9.58,6.07,5.56,6.88,8.82,"Europa"
"Líbano",4.63,3.92,2.21,6.67,5.63,4.71,"Asia"
"Liberia",5.35,7.42,2.57,5.56,5.63,5.59,"África"
"Libia",2.19,1,0.36,1.67,5,2.94,"África"
"Lituania",7.5,9.58,6.43,6.11,6.25,9.12,"Europa"
"Luxemburgo",8.81,10,8.93,6.67,8.75,9.71,"Europa"
"Macedonia del Norte",5.87,6.5,5.36,6.67,3.75,7.06,"Europa"
"Madagascar",5.22,6.08,3.57,6.11,5.63,4.71,"África"
"Malasia",6.88,7.75,7.86,6.67,6.25,5.88,"Asia"
"Malaui",5.49,6.58,4.29,4.44,6.25,5.88,"África"
"Malta",8.21,9.17,8.21,6.11,8.75,8.82,"Europa"
"Marruecos",4.99,5.25,4.64,5,5.63,4.41,"África"
"Mauricio",8.22,9.17,8.21,5.56,8.75,9.41,"África"
"Mauritania",3.82,3,3.57,5,3.13,4.41,"África"
"México",6.19,8.33,6.07,7.22,3.13,6.18,"América"
"Moldavia",5.85,7.08,4.64,6.11,4.38,7.06,"Europa"
"Mongolia",6.5,9.17,5.71,5.56,5,7.06,"Asia"
"Montenegro",5.74,6.08,5.36,6.11,4.38,6.76,"Europa"
"Mozambique",3.85,3.58,2.14,5,5,3.53,"África"
"Namibia",6.25,5.67,5.36,6.67,5.63,7.94,"África"
"Nepal",5.18,4.33,5.36,5,5.63,5.59,"Asia"
"Nicaragua",3.63,2.67,1.86,3.89,5.63,4.12,"América"
"Níger",3.76,5.25,1.14,3.33,4.38,4.71,"África"
"Nigeria",4.44,6.08,4.64,3.33,3.75,4.41,"África"
"Noruega",9.87,10,9.64,10,10,9.71,"Europa"
"Omán",3.04,0,3.93,2.78,4.38,4.12,"Asia"
"Países Bajos",8.89,9.58,9.29,8.33,8.13,9.12,"Europa"
"Pakistán",4.25,6.08,5.36,2.22,2.5,4.71,"Asia"
"Palestina",4.39,3.83,2.14,7.78,4.38,3.82,"Asia"
"Panamá",7.05,9.58,6.07,6.67,5,7.94,"América"
"Papúa Nueva Guinea",6.03,6.92,6.07,3.89,5.63,7.65,"Oceanía"
"Paraguay",6.24,8.75,5.71,5,4.38,7.35,"América"
"Perú",6.6,9.17,5,5.56,5.63,7.65,"América"
"Polonia",6.62,9.17,6.07,6.11,4.38,7.65,"Europa"
"Portugal",7.84,9.58,7.5,6.11,6.88,9.12,"Europa"
"Reino Unido",8.53,9.58,7.5,8.33,8.13,9.12,"Europa"
"República Centroafricana",1.32,1.25,0,1.11,1.88,2.35,"África"
"República del Congo",3.31,3.17,2.5,3.89,3.75,3.24,"África"
"República Dominicana",6.54,9.17,5.36,6.11,5,7.06,"América"
"Ruanda",3.35,1.67,5,2.78,4.38,2.94,"África"
"Rusia",2.93,2.17,1.79,5,2.5,3.24,"Europa-Asia"
"Senegal",6.15,7.5,6.07,4.44,6.25,6.47,"África"
"Serbia",6.4,8.25,5.36,6.11,5,7.35,"Europa"
"Sierra Leona",4.66,6.58,1.86,3.33,6.25,5.29,"África"
"Singapur",6.38,4.33,7.86,6.11,6.25,7.35,"Asia"
"Siria",1.43,0,0,2.78,4.38,0,"Asia"
"Sri Lanka",6.19,7.83,5.71,5,6.25,6.18,"Asia"
"Sudáfrica",7.24,7.42,7.5,8.33,5,7.94,"África"
"Sudán",2.15,0,1.79,2.78,5,1.18,"África"
"Suecia",9.39,9.58,9.64,8.33,10,9.41,"Europa"
"Suiza",9.03,9.58,9.29,7.78,9.38,9.12,"Europa"
"Surinam",6.98,9.17,6.43,6.67,5,7.65,"América"
"Tailandia",4.63,3,4.29,5,5,5.88,"Asia"
"Tanzania",5.41,7,5,5,5.63,4.41,"África"
"Tayikistán",1.95,0.08,0.79,1.67,6.25,0.88,"Asia"
"Timor Oriental",7.19,9.08,6.79,5.56,6.88,7.65,"Asia"
"Togo",3.1,3.17,0.79,3.33,5,3.24,"África"
"Trinidad y Tobago",7.16,9.58,7.14,6.11,5.63,7.35,"América"
"Túnez",6.41,6.42,5.71,7.78,6.25,5.88,"África"
"Turkmenistán",1.72,0,0.79,2.22,5,0.59,"Asia"
"Turquía",4.37,4.5,5,5,5,2.35,"Asia-Europa"
"Ucrania",5.69,6.17,3.21,6.67,6.25,6.18,"Europa"
"Uganda",5.2,5.25,3.57,4.44,6.88,5.88,"África"
"Uruguay",8.38,10,8.57,6.11,7.5,9.71,"América"
"Uzbekistán",2.01,0.08,1.86,2.22,5,0.88,"Asia"
"Venezuela",3.16,1.67,1.79,4.44,4.38,3.53,"América"
"Vietnam",3.08,0,3.21,3.89,5.63,2.65,"Asia"
"Yemen",1.97,0,0,3.89,5,0.88,"Asia"
"Yibuti",2.87,0.42,1.79,3.89,5.63,2.65,"África"
"Zambia",5.61,6.17,4.64,3.89,6.88,6.47,"África"
"Zimbabue",3.17,0.5,2,4.44,5.63,3.24,"África"
